stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location
2595,2595,University at Shorewood,This stop (#2595) is eastbound on the 3301 block of University before Shorewood,43.075065,-89.444016,MMT,CMAD,0,,3,90,1,University,3301,Shorewood
2684,2684,S Whitney at South Hill,This stop (#2684) is southbound on the 300 block of S Whitney after South Hill,43.063786,-89.472032,MMT,CMAD,0,,1,180,1,S Whitney,300,South Hill
2755,2755,University at N Blackhawk,This stop (#2755) is eastbound on the 3501 block of University before N Blackhawk,43.075091,-89.446856,MMT,CMAD,0,,3,90,1,University,3501,N Blackhawk
6129,6129,Mineral Point at Yellowstone,This stop (#6129) is eastbound on the 6499 block of Mineral Point after S Yellowstone,43.060626,-89.491531,MMT,CMAD,0,,1,90,1,Mineral Point,6499,Yellowstone
6205,6205,Allen at Century,This stop (#6205) is northbound on the 2601 block of Allen before Century,43.103486,-89.486077,MMT,CMID,0,,3,0,0,Allen,2601,Century
6349,6349,Mineral Point at D'Onofrio,This stop (#6349) is eastbound on the 7499 block of Mineral Point after D'Onofrio,43.060416,-89.512266,MMT,CMAD,0,,1,90,1,Mineral Point,7499,D'Onofrio
6516,6516,Mineral Point at Yellowstone,This stop (#6516) is westbound on the 6500 block of Mineral Point after S Yellowstone,43.060966,-89.492358,MMT,CMAD,0,,1,270,1,Mineral Point,6500,Yellowstone
6627,6627,Century at Park,This stop (#6627) is eastbound on the 7001 block of Century before Park,43.108993,-89.501953,MMT,CMID,0,,3,90,1,Century,7001,Park
6984,6984,Mineral Point at D'Onofrio,This stop (#6984) is westbound on the 7500 block of Mineral Point after D'Onofrio,43.060765,-89.513093,MMT,CMAD,0,,1,270,1,Mineral Point,7500,D'Onofrio
7752,F752,S Sprecher at Dominion,This flag stop (#F752) is southbound on the 500 block of S Sprecher after Dominion,43.09133,-89.266963,MTS,CMAD,0,,1,180,0,S Sprecher,500,Dominion
9133,F933,E Washington at Reindahl,This flag stop (#F933) is eastbound on the 3499 block of E Washington before Reindahl,43.114104,-89.328573,MTS,CMAD,0,,3,90,1,E Washington,3499,Reindahl
9135,9135,E Washington at Lexington,This stop (#9135) is eastbound on the 3245 block of E Washington after Lexington,43.111081,-89.332975,MMT,CMAD,0,,1,90,1,E Washington,3245,Lexington
9172,9172,E Washington at Lexington,This stop (#9172) is westbound on the 3300 block of E Washington after Lexington,43.110679,-89.334198,MMT,CMAD,0,,1,270,1,E Washington,3300,Lexington
9200,9200,Anderson at Madison College,This stop (#9200) is westbound on the 3550 block of Anderson adjacent Madison College,43.121077,-89.326291,MMT,CMAD,0,,2,270,1,Anderson,3550,Madison College
9201,9201,Anderson at Madison College,This stop (#9201) is eastbound on the 3551 block of Anderson opposite Madison College,43.120826,-89.326378,MMT,CMAD,0,,4,90,1,Anderson,3551,Madison College
9344,F944,E Washington at Reindahl,This flag stop (#F944) is westbound on the 3498 block of E Washington after Reindahl,43.114292,-89.329055,MTS,CMAD,0,,1,270,1,E Washington,3498,Reindahl
9491,9491,E Washington at Lien,This stop (#9491) is eastbound on the 3901 block of E Washington after Lien,43.121383,-89.317433,MMT,CMAD,0,,1,90,1,E Washington,3901,Lien
9551,9551,E Washington at Macarthur,This stop (#9551) is eastbound on the 3701 block of E Washington after MacArthur,43.11743,-89.323306,MMT,CMAD,0,,1,90,1,E Washington,3701,MacArthur
9675,9675,Anderson at Wright,This stop (#9675) is eastbound on the 3401 block of Anderson after Wright,43.120032,-89.330072,MMT,CMAD,0,,1,90,1,Anderson,3401,Wright
9874,9874,E Washington at Macarthur,This stop (#9874) is westbound on the 3700 block of E Washington before MacArthur,43.117655,-89.323788,MMT,CMAD,0,,3,270,1,E Washington,3700,MacArthur
9984,9984,E Washington at Lien,This stop (#9984) is westbound on the 3898 block of E Washington after Lien,43.12125,-89.318323,MMT,CMAD,0,,1,270,1,E Washington,3898,Lien
12274,W274,Edgehill at Lake Mendota,This flag stop (#W274) is southbound on the 3498 block of Edgehill before Lake Mendota,43.083031,-89.451451,MTS,VSHO,0,,3,180,0,Edgehill,3498,Lake Mendota
12281,W281,Edgehill at Edgehill,This flag stop (#W281) is eastbound on the 1598 block of Edgehill before Edgehill,43.083739,-89.449044,MTS,VSHO,0,,3,90,0,Edgehill,1598,Edgehill
12283,W283,Edgehill at Oxford,This flag stop (#W283) is eastbound on the 1300 block of Edgehill before Oxford,43.081931,-89.445895,MTS,VSHO,0,,3,90,0,Edgehill,1300,Oxford
17750,L750,S Sprecher at Kilpatrick,This flag stop (#L750) is southbound on the 798 block of S Sprecher before Kilpatrick,43.085842,-89.266976,MTS,CMAD,0,,3,180,0,S Sprecher,798,Kilpatrick
141,0141,W Washington at S Fairchild,This EVENT/DETOUR ONLY stop (#0141) is eastbound on the 201 block of W Washington before of S Fairchild,43.073074,-89.386255,MMT,CMAD,0,,3,90,1,W Washington,201,S Fairchild
341,0341,N Park at W Johnson,This EVENT/DETOUR ONLY stop (#0341) is northbound on the 301 block of N Park after W Johnson,43.072352,-89.400476,MMT,CMAD,0,,1,0,1,N Park,301,W Johnson
1110,1110,E Dayton at Wisconsin,This EVENT/DETOUR ONLY stop (#1110) is westbound on the 2 block of E Dayton before of Wisconsin,43.076428,-89.385920,MMT,CMAD,0,,3,270,1,E Dayton,2,Wisconsin
1155,1155,S Webster at E Main,This EVENT/DETOUR ONLY stop (#1155) is northbound on the 99 block of S Webster after of E Main,43.075579,-89.381192,MMT,CMAD,0,,1,0,1,S Webster,99,E Main
4000,SoTP,South Transfer,South Transfer is located at 2430 S Park - just north of W Badger,43.038957,-89.394651,MMT,MTSM,1,,5,,1,S Park,2430,South Transfer
4100,4100,South Transfer,This stop (#4100) is on the pedestrian island at the South Transfer,43.038895,-89.394824,MMT,MTSM,0,4000,5,,1,S Park,2430,South Transfer
5,0005,W Dayton at N Orchard,This stop (#0005) is eastbound on the 1299 block of W Dayton after N Orchard,43.070947,-89.406982,MMT,CMAD,0,,1,90,1,W Dayton,1299,N Orchard
10,0010,Langdon at N Park,This stop (#0010) is westbound on the 898 block of Langdon before N Park,43.075933,-89.400154,MMT,CMAD,0,,3,270,1,Langdon,898,N Park
25,0025,Langdon at N Lake,This stop (#0025) is eastbound on the 699 block of Langdon after N Lake,43.075691,-89.396944,MMT,CMAD,0,,1,90,1,Langdon,699,N Lake
39,0039,N Lake at W Johnson,This stop (#0039) is northbound on the 299 block of N Lake before W Johnson,43.071895,-89.397341,MMT,CMAD,0,,3,0,1,N Lake,299,W Johnson
45,0045,Langdon at Wisconsin,This stop (#0045) is eastbound on the 1 block of Langdon before Wisconsin,43.078482,-89.38982,MMT,CMAD,0,,3,90,1,Langdon,1,Wisconsin
49,0049,N Lake at Langdon,This stop (#0049) is northbound on the 599 block of N Lake before Langdon,43.075529,-89.397191,MMT,CMAD,0,,3,0,1,N Lake,599,Langdon
52,0052,Observatory at N Charter,This stop (#0052) is westbound on the 1198 block of Observatory before N Charter,43.076131,-89.40566,MMT,UWIS,0,,3,270,1,Observatory,1198,N Charter
56,0056,Observatory at Liz Waters,This stop (#0056) is westbound on the 1300 block of Observatory adjacent Liz Waters,43.07665,-89.407141,MMT,UWIS,0,,2,270,1,Observatory,1300,Liz Waters
60,0060,Observatory at Bascom,This stop (#0060) is westbound on the 1100 block of Observatory adjacent Bascom,43.075996,-89.40366,MMT,UWIS,0,,2,270,1,Observatory,1100,Bascom
61,0061,W Dayton at N Mills,This stop (#0061) is eastbound on the 1099 block of W Dayton after N Mills,43.070893,-89.403698,MMT,CMAD,0,,1,90,1,W Dayton,1099,N Mills
68,0068,N Lake at W Johnson,This stop (#0068) is southbound on the 300 block of N Lake before W Johnson,43.072172,-89.397625,MMT,CMAD,0,,3,180,1,N Lake,300,W Johnson
75,0075,W Dayton at N Park,This stop (#0075) is eastbound on the 899 block of W Dayton after N Park,43.070839,-89.40002,MMT,CMAD,0,,1,90,1,W Dayton,899,N Park
87,0087,N Broom at W Gorham,This stop (#0087) is northbound on the 399 block of N Broom before W Gorham,43.07415,-89.392328,MMT,CMAD,0,,3,0,1,N Broom,399,W Gorham
89,0089,Langdon at N Henry,This stop (#0089) is eastbound on the 199 block of Langdon after N Henry,43.076844,-89.392142,MMT,CMAD,0,,1,90,1,Langdon,199,N Henry
96,0096,Wisconsin at W Gorham,This stop (#0096) is southbound on the 400 block of Wisconsin before W Gorham,43.077515,-89.388055,MMT,CMAD,0,,3,180,1,Wisconsin,400,W Gorham
99,0099,Langdon at N Park,This stop (#0099) is eastbound on the 899 block of Langdon after N Park,43.075745,-89.400179,MMT,CMAD,0,,1,90,1,Langdon,899,N Park
